 IDnum	freq	P(case)	P(+incident)
1170	1	0.101075	0
1171	1	0.110914	1
1172	1	0.133493	1
1173	1	0.0167767	1
1174	1	0.107614	0
1175	1	0.1049	0
1176	1	0.133493	1
1177	1	0.111228	0
1178	1	0.120852	0
1179	1	0.133493	1
1180	1	0.110914	1
1181	1	0.120852	0
1182	1	0.0444775	1
1183	1	0.133493	1
1184	1	0.0167767	1
1185	1	0.133493	1
1186	1	0.120852	0
1187	1	0.0444775	1
1188	1	0.101075	0
1189	1	0.101075	0
1190	1	0.107614	0
1191	1	0.111228	0
1192	1	0.113377	1
1193	1	0.111228	0
1194	1	0.133493	1
1195	1	0.133493	1
1196	1	0.110914	1
1197	1	0.101075	0
1198	1	0.113377	1
1199	1	0.133493	1
1200	1	0.101075	0
1201	1	0.111228	0
1202	1	0.113377	1
1203	1	0.133493	1
1204	1	0.101075	0
1205	1	0.111228	0
1206	1	0.110914	1
1207	1	0.110914	1
1208	1	0.1049	0
1209	1	0.120852	0
1210	1	0.111228	0
1211	1	0.0167767	1
1212	1	0.110914	1
1213	1	0.111228	0
1214	1	0.107614	0
1215	1	0.0444775	1
1216	1	0.0444775	1
1217	1	0.101075	0
1218	1	0.0167767	1
1219	1	0.1049	0
1220	1	0.133493	1
1221	1	0.111228	0
1222	1	0.120852	0
1223	1	0.133493	1
1224	1	0.113377	1
1225	1	0.107614	0
1226	1	0.113377	1
